"iter","algo2","resu2","Val"
"1","BM","const",518
"1","BM","vars",125
"1","BM","bin",74
"1","HR","rel",5778.54234883721
"1","HR","const",2568
"1","HR","vars",1095
"1","HR","bin",74
"2","BM","const",518
"2","BM","vars",125
"2","BM","bin",74
"2","HR","rel",3975.66570234977
"2","HR","const",2568
"2","HR","vars",1095
"2","HR","bin",74
"3","BM","const",518
"3","BM","vars",125
"3","BM","bin",74
"3","HR","rel",5656.32399625468
"3","HR","const",2568
"3","HR","vars",1095
"3","HR","bin",74
"4","BM","const",518
"4","BM","vars",125
"4","BM","bin",74
"4","HR","rel",4686.93040203958
"4","HR","const",2568
"4","HR","vars",1095
"4","HR","bin",74
"5","BM","const",518
"5","BM","vars",125
"5","BM","bin",74
"5","HR","rel",6792.90821052632
"5","HR","const",2568
"5","HR","vars",1095
"5","HR","bin",74
"6","BM","const",518
"6","BM","vars",125
"6","BM","bin",74
"6","HR","rel",5194.91325
"6","HR","const",2568
"6","HR","vars",1095
"6","HR","bin",74
"7","BM","const",518
"7","BM","vars",125
"7","BM","bin",74
"7","HR","rel",6631.49779637414
"7","HR","const",2568
"7","HR","vars",1095
"7","HR","bin",74
"8","BM","const",518
"8","BM","vars",125
"8","BM","bin",74
"8","HR","rel",5835.03855874029
"8","HR","const",2568
"8","HR","vars",1095
"8","HR","bin",74
"9","BM","const",518
"9","BM","vars",125
"9","BM","bin",74
"9","HR","rel",3613.79423643992
"9","HR","const",2568
"9","HR","vars",1095
"9","HR","bin",74
"10","BM","const",518
"10","BM","vars",125
"10","BM","bin",74
"10","HR","rel",5257.91559929078
"10","HR","const",2568
"10","HR","vars",1095
"10","HR","bin",74
